FIPS,State,County,# deaths due to COVID-19 during 2020,COVID-19 death rate,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (AIAN),Life Expectancy (AIAN) 95% CI - Low,Life Expectancy (AIAN) 95% CI - High,Life Expectancy (Asian),Life Expectancy (Asian) 95% CI - Low,Life Expectancy (Asian) 95% CI - High,Life Expectancy (Black),Life Expectancy (Black) 95% CI - Low,Life Expectancy (Black) 95% CI - High,Life Expectancy (Hispanic),Life Expectancy (Hispanic) 95% CI - Low,Life Expectancy (Hispanic) 95% CI - High,Life Expectancy (white),Life Expectancy (white) 95% CI - Low,Life Expectancy (white) 95% CI - High,# Deaths,Age-adjusted Death Rate,95% CI - Low,95% CI - High,Age-Adjusted Mortality (AIAN),Age-Adjusted Mortality (AIAN) 95% CI - Low,Age-Adjusted Mortality (AIAN) 95% CI - High,Age-Adjusted Mortality (Asian),Age-Adjusted Mortality (Asian) 95% CI - Low,Age-Adjusted Mortality (Asian) 95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Black) 95% CI - Low,Age-Adjusted Mortality (Black) 95% CI - High,Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (Hispanic) 95% CI - Low,Age-Adjusted Mortality (Hispanic) 95% CI - High,Age-Adjusted Mortality (white),Age-Adjusted Mortality (white) 95% CI - Low,Age-Adjusted Mortality (white) 95% CI - High,# Deaths,Child Mortality Rate,95% CI - Low,95% CI - High,Child Mortality Rate (AIAN),Child Mortality Rate (AIAN) 95% CI - Low,Child Mortality Rate (AIAN) 95% CI - High,Child Mortality Rate (Asian),Child Mortality Rate (Asian) 95% CI - Low,Child Mortality Rate (Asian) 95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Black) 95% CI - Low,Child Mortality Rate (Black) 95% CI - High,Child Mortality Rate (Hispanic),Child Mortality Rate (Hispanic) 95% CI - Low,Child Mortality Rate (Hispanic) 95% CI - High,Child Mortality Rate (white),Child Mortality Rate (white) 95% CI - Low,Child Mortality Rate (white) 95% CI - High,# Deaths,Infant Mortality Rate,95% CI - Low,95% CI - High,Infant Mortality Rate (AIAN),Infant Mortality Rate (AIAN) 95% CI - Low,Infant Mortality Rate (AIAN) 95% CI - High,Infant Mortality Rate (Asian),Infant Mortality Rate (Asian) 95% CI - Low,Infant Mortality Rate (Asian) 95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Black) 95% CI - Low,Infant Mortality Rate (Black) 95% CI - High,Infant Mortality Rate (Hispanic),Infant Mortality Rate (Hispanic) 95% CI - Low,Infant Mortality Rate (Hispanic) 95% CI - High,Infant Mortality Rate (white),Infant Mortality Rate (white) 95% CI - Low,Infant Mortality Rate (white) 95% CI - High,% Frequent Physical Distress,95% CI - Low,95% CI - High,% Frequent Mental Distress,95% CI - Low,95% CI - High,% Adults with Diabetes,95% CI - Low,95% CI - High,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access to Healthy Foods,# Drug Overdose Deaths,Drug Overdose Mortality Rate,95% CI - Low,95% CI - High,Drug Overdose Mortality Rate (AIAN),Drug Overdose Mortality Rate (AIAN) 95% CI - Low,Drug Overdose Mortality Rate (AIAN) 95% CI - High,Drug Overdose Mortality Rate (Asian),Drug Overdose Mortality Rate (Asian) 95% CI - Low,Drug Overdose Mortality Rate (Asian) 95% CI - High,Drug Overdose Mortality Rate (Black),Drug Overdose Mortality Rate (Black) 95% CI - Low,Drug Overdose Mortality Rate (Black) 95% CI - High,Drug Overdose Mortality Rate (Hispanic),Drug Overdose Mortality Rate (Hispanic) 95% CI - Low,Drug Overdose Mortality Rate (Hispanic) 95% CI - High,Drug Overdose Mortality Rate (white),Drug Overdose Mortality Rate (white) 95% CI - Low,Drug Overdose Mortality Rate (white) 95% CI - High,# Motor Vehicle Deaths,Motor Vehicle Mortality Rate,95% CI - Low,95% CI - High,MV Mortality Rate (AIAN),MV Mortality Rate (AIAN) 95% CI - Low,MV Mortality Rate (AIAN) 95% CI - High,MV Mortality Rate (Asian),MV Mortality Rate (Asian) 95% CI - Low,MV Mortality Rate (Asian) 95% CI - High,MV Mortality Rate (Black),MV Mortality Rate (Black) 95% CI - Low,MV Mortality Rate (Black) 95% CI - High,MV Mortality Rate (Hispanic),MV Mortality Rate (Hispanic) 95% CI - Low,MV Mortality Rate (Hispanic) 95% CI - High,MV Mortality Rate (white),MV Mortality Rate (white) 95% CI - Low,MV Mortality Rate (white) 95% CI - High,% Insufficient Sleep,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Other Primary Care Provider Rate,Other Primary Care Provider Ratio,Cohort Size,High School Graduation Rate,% Disconnected Youth,95% CI - Low,95% CI - High,READING- Average Grade Performance,Average Grade Performance (Asian),Average Grade Performance (Black),Average Grade Performance (Hispanic),Average Grade Performance (white),MATH-Average Grade Performance,Average Grade Performance (Asian),Average Grade Performance (Black),Average Grade Performance (Hispanic),Average Grade Performance (white),Segregation index,Spending per-pupil,School funding,Women's Median Earnings,Men's Median Earnings,Gender Pay Gap,95% CI - Low,95% CI - High,Median Household Income,95% CI - Low,95% CI - High,Household Income (AIAN),Household Income (AIAN) 95% CI - Low,Household Income (AIAN) 95% CI - High,Household Income (Asian),Household Income (Asian) 95% CI - Low,Household Income (Asian) 95% CI - High,Household Income (Black),Household Income (Black) 95% CI - Low,Household Income (Black) 95% CI - High,Household Income (Hispanic),Household Income (Hispanic) 95% CI - Low,Household Income (Hispanic) 95% CI - High,Household Income (white),Household Income (white) 95% CI - Low,Household Income (white) 95% CI - High,% Enrolled in Free or Reduced Lunch,Segregation index,Segregation Index,% household income required for childcare expenses,# childcare centers,County Value,Homicide Rate,95% CI - Low,95% CI - High,Homicide Rate (AIAN),Homicide Rate (AIAN) 95% CI - Low,Homicide Rate (AIAN) 95% CI - High,Homicide Rate (Asian),Homicide Rate (Asian) 95% CI - Low,Homicide Rate (Asian) 95% CI - High,Homicide Rate (Black),Homicide Rate (Black) 95% CI - Low,Homicide Rate (Black) 95% CI - High,Homicide Rate (Hispanic),Homicide Rate (Hispanic) 95% CI - Low,Homicide Rate (Hispanic) 95% CI - High,Homicide Rate (white),Homicide Rate (white) 95% CI - Low,Homicide Rate (white) 95% CI - High,# Deaths,Suicide Rate (Age-Adjusted),95% CI - Low,95% CI - High,Crude Rate,Suicide Rate (AIAN),Suicide Rate (AIAN) 95% CI - Low,Suicide Rate (AIAN) 95% CI - High,Suicide Rate (Asian),Suicide Rate (Asian) 95% CI - Low,Suicide Rate (Asian) 95% CI - High,Suicide Rate (Black),Suicide Rate (Black) 95% CI - Low,Suicide Rate (Black) 95% CI - High,Suicide Rate (Hispanic),Suicide Rate (Hispanic) 95% CI - Low,Suicide Rate (Hispanic) 95% CI - High,Suicide Rate (white),Suicide Rate (white) 95% CI - Low,Suicide Rate (white) 95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low,95% CI - High,Firearm Fatalities Rate (AIAN),Firearm Fatalities Rate (AIAN) 95% CI - Low,Firearm Fatalities Rate (AIAN) 95% CI - High,Firearm Fatalities Rate (Asian),Firearm Fatalities Rate (Asian) 95% CI - Low,Firearm Fatalities Rate (Asian) 95% CI - High,Firearm Fatalities Rate (Black),Firearm Fatalities Rate (Black) 95% CI - Low,Firearm Fatalities Rate (Black) 95% CI - High,Firearm Fatalities Rate (Hispanic),Firearm Fatalities Rate (Hispanic) 95% CI - Low,Firearm Fatalities Rate (Hispanic) 95% CI - High,Firearm Fatalities Rate (white),Firearm Fatalities Rate (white) 95% CI - Low,Firearm Fatalities Rate (white) 95% CI - High,Non-Petitioned Cases,Petitioned Cases,Denominator,Juvenile Arrest Rate,Traffic Volume,# Homeowners,% Homeowners,95% CI - Low,95% CI - High,# Households with Severe Cost Burden,% Severe Housing Cost Burden,95% CI - Low,95% CI - High,% Broadband Access,Numerator,95% CI - Low,95% CI - High,Population,% Less Than 18 Years of Age,% 65 and Over,# Black,% Black,# American Indian & Alaska Native,% American Indian & Alaska Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic white,% Non-Hispanic white,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,% female,# rural residents,% rural
06000,California,,31335,69,81.0,81.0,81.0,77.3,76.8,77.8,87.0,86.9,87.1,75.0,74.9,75.2,82.1,82.1,82.2,80.1,80.1,80.2,378883,288,287,289,472,455,488,167,165,168,524,519,529,276,275,278,304,302,305,12544,35,34,36,48,38,59,26,25,27,69,65,72,35,34,36,32,30,33,13801,4,4,4,5,4,6,3,3,4,8,8,8,4,4,4,3,3,4,11,11,12,12,11,13,9,9,10,132911,401,4011960,10,1204935,3,20454,17,17,18,40,35,45,4,4,5,31,30,32,12,11,12,25,25,26,27186,10,10,10,19,17,21,5,5,5,15,15,16,10,10,10,11,10,11,35,33,36,2657697,11,11,11,326104,4,3,4,73,1366:1,427205,88,7,6,7,2.9,3.6,2.4,2.6,3.3,2.7,3.6,2.2,2.5,3.1,0.26,13582,-1122,50693,58031,0.87,0.87,0.88,83001,82311,83691,60182,58379,61985,101380,100803,101957,54976,54259,55693,62330,61953,62707,90496,90035,90957,59,57,37,27,,6,5,5,5,10,9,12,2,2,2,22,21,23,6,6,6,3,3,3,21628,10,10,11,11,15,13,17,6,6,7,8,7,8,6,6,6,16,16,16,15801,8,8,8,13,11,16,3,2,3,21,20,22,6,6,7,10,9,10,,26295,4032100,7,1991,7241318,55,55,56,2487212,19,19,20,89,11650839,89,89,39368078,22.3,15.2,2210338,5.6,667270,1.7,6233297,15.8,203774,0.5,15569780,39.5,14147082,35.9,3392783,9,9,9,50.3,1880350,5.0
06001,California,Alameda,635,33,82.8,82.6,82.9,81.8,77.0,86.5,88.6,88.2,89.0,74.6,74.2,75.1,83.7,83.2,84.2,81.9,81.7,82.1,13444,239,235,243,418,328,524,135,130,140,539,521,558,230,220,240,239,232,246,426,31,28,34,,,,27,22,32,62,50,76,32,27,38,22,18,28,473,3,3,4,,,,4,3,4,7,6,8,3,3,4,2,2,3,10,9,11,11,10,12,9,9,10,6100,428,139810,8,16876,1,761,15,14,16,,,,4,3,5,39,34,44,13,11,15,20,18,22,711,6,6,7,,,,4,3,4,12,10,13,7,6,8,6,5,7,33,32,34,63889,6,5,6,9745,3,2,3,61,1649:1,15549,87,4,4,5,3.1,3.6,2.3,2.5,3.6,3.0,3.7,2.1,2.4,3.5,0.23,13740,1074,65431,77844,0.84,0.82,0.86,113518,109939,117097,82661,72806,92516,130236,127189,133283,56664,53591,59737,82968,80672,85264,120484,118723,122245,42,51,36,25,534,6,6,6,7,,,,1,1,2,31,28,34,7,6,8,2,2,3,767,9,8,9,9,,,,5,4,6,8,7,11,6,5,7,13,12,15,640,8,7,8,,,,2,1,2,29,26,33,8,6,9,7,6,8,,0,150400,0,2670,307281,54,53,54,95623,17,17,18,91,521875,91,91,1662323,20.2,14.7,165713,10.0,18313,1.1,551814,33.2,15772,0.9,368904,22.2,498759,30.0,119494,8,,,50.8,5869,0.4
06003,California,Alpine,,,,,,,,,,,,,,,,,,,,,42,992,659,1433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,13,15,15,14,16,10,9,11,,,140,13,197,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,33,36,61,10,8,12,12,6,4,7,0,1119:0,,,,,,,,,,,,,,,,0.17,,,33413,65250,0.51,0.20,0.83,64542,53254,75830,47321,28062,66580,,,,,,,135441,14183,256699,90000,65029,114971,64,,,27,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,100,0,8,321,81,72,90,23,6,0,18,87,344,77,97,1119,18.9,25.6,4,0.4,284,25.4,21,1.9,0,0.0,145,13.0,682,60.9,17,2,0,7,47.7,1175,100.0
06005,California,Amador,19,24,79.7,78.8,80.6,,,,,,,,,,83.6,80.5,86.7,79.1,78.1,80.1,592,327,297,357,,,,,,,,,,230,165,312,351,315,387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,11,13,14,13,15,9,9,10,183,516,4120,11,36,0,27,23,15,33,,,,,,,,,,,,,,,,55,20,15,27,,,,,,,,,,,,,,,,33,32,35,1612,9,7,10,259,4,3,5,60,1670:1,306,87,10,4,17,2.7,,,2.5,2.8,2.5,,,2.3,2.5,0.02,9890,-1238,46136,52840,0.87,0.73,1.02,68141,58017,78265,,,,64615,21396,107834,,,,81328,67102,95554,63853,58323,69383,40,,14,25,14,9,6,4,10,,,,,,,,,,,,,,,,59,27,20,36,30,,,,,,,,,,,,,,,,38,19,14,27,,,,,,,,,,,,,,,,,9,2700,3,110,11396,77,74,80,2332,16,13,19,84,12417,81,86,40083,15.1,28.0,1034,2.6,922,2.3,691,1.7,134,0.3,5978,14.9,30780,76.8,418,1,1,2,45.7,23016,60.4
06007,California,Butte,132,46,77.6,77.2,78.0,79.6,72.3,86.9,82.7,79.9,85.4,74.2,71.5,77.0,82.0,80.5,83.5,77.2,76.8,77.6,3213,408,393,422,577,447,732,319,256,394,546,421,696,276,241,312,424,406,441,63,35,27,45,,,,,,,,,,27,14,47,35,25,47,63,4,3,5,,,,,,,,,,,,,,,,13,12,14,15,14,16,10,9,10,248,132,32450,14,14192,6,184,28,24,32,,,,,,,,,,9,4,16,32,27,37,242,15,13,17,,,,,,,,,,14,10,20,16,14,18,35,34,37,12590,10,8,11,1285,3,2,4,118,844:1,2161,87,6,4,8,2.7,2.6,2.4,2.6,2.9,2.5,2.6,2.1,2.4,2.7,0.09,13867,-453,42564,51440,0.83,0.79,0.87,54718,48191,61245,52734,39787,65681,49375,38936,59814,22302,15345,29259,48183,43474,52892,58222,54992,61452,59,64,31,35,80,7,4,3,5,,,,,,,,,,4,2,7,3,2,4,232,20,17,23,21,,,,,,,,,,10,6,16,22,19,25,159,14,12,16,,,,,,,,,,9,5,14,15,13,18,,182,19900,9,449,49887,59,58,61,14808,18,17,20,88,73596,87,89,212744,20.2,18.4,3435,1.6,5683,2.7,11077,5.2,621,0.3,38034,17.9,148772,69.9,5615,3,2,3,50.5,41584,18.9
06009,California,Calaveras,17,21,79.5,78.5,80.4,,,,,,,,,,85.5,82.0,89.0,78.9,77.9,79.9,744,358,327,388,715,400,1180,,,,,,,199,142,271,378,342,413,13,42,22,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,11,13,15,13,16,9,8,9,48,119,5360,12,2730,6,29,21,14,30,,,,,,,,,,,,,,,,81,25,20,32,,,,,,,,,,,,,,,,32,31,34,2262,9,8,10,348,4,3,6,26,3859:1,404,91,,,,2.7,,,2.6,2.7,2.4,,,2.2,2.4,0.02,14274,636,40558,60194,0.67,0.51,0.84,66329,54861,77797,,,,,,,71650,13398,129902,52440,35135,69745,67385,61460,73310,50,74,22,26,22,12,3,2,6,,,,,,,,,,,,,,,,53,20,14,27,23,,,,,,,,,,,,,,,,43,19,14,25,,,,,,,,,,,,,,,,,26,3700,7,44,13492,80,77,82,2982,18,15,21,84,14266,81,87,46308,16.9,28.9,430,0.9,949,2.0,850,1.8,130,0.3,6154,13.3,36815,79.5,312,1,0,1,50.1,34370,75.4
06011,California,Colusa,15,60,79.6,78.3,80.9,,,,,,,,,,83.8,81.1,86.6,77.7,75.8,79.6,229,333,289,377,,,,,,,,,,224,175,282,428,348,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,13,15,14,13,15,12,11,13,17,98,2870,13,2647,12,,,,,,,,,,,,,,,,,,,,35,23,16,32,,,,,,,,,,,,,,,,33,32,35,1893,15,13,18,330,6,4,7,32,3080:1,363,89,,,,2.8,,,,,2.6,,,,,0.12,13209,-4824,34105,48737,0.70,0.61,0.79,59422,48931,69913,,,,,,,14946,172,29720,65574,58419,72729,55925,47340,64510,76,29,16,28,10,6,,,,,,,,,,,,,,,,,,,10,9,4,17,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,2800,8,282,4651,63,59,68,791,11,8,14,80,5889,77,84,21558,27.0,15.4,247,1.1,615,2.9,354,1.6,135,0.6,13030,60.4,7291,33.8,2821,14,12,16,49.1,6795,31.7
06013,California,Contra Costa,422,29,82.2,82.0,82.4,77.7,74.6,80.7,88.2,87.6,88.8,75.4,74.8,76.0,84.3,83.7,84.8,81.8,81.6,82.1,9986,244,239,249,421,321,542,142,133,150,498,475,522,215,205,226,243,235,250,313,30,27,34,,,,18,12,25,52,39,68,35,29,41,25,21,31,304,4,3,4,,,,3,2,3,6,4,7,4,3,5,3,2,3,10,10,11,12,11,13,9,9,10,2676,275,87180,8,30080,3,560,16,15,18,,,,4,3,6,32,26,38,12,10,14,20,17,22,644,8,7,9,,,,5,4,6,16,13,19,8,7,10,7,6,8,33,32,34,55219,8,7,9,8310,3,2,4,54,1862:1,13153,89,5,4,6,3.0,3.6,2.3,2.5,3.4,2.8,3.6,2.0,2.3,3.3,0.20,12440,465,64263,80124,0.80,0.78,0.83,106484,102894,110074,78815,62819,94811,121358,117081,125635,73306,68688,77924,80278,77495,83061,115457,112999,117915,39,53,37,25,370,6,6,5,6,,,,1,1,2,30,26,34,6,5,7,2,2,3,587,10,9,11,10,,,,7,5,8,9,6,11,6,5,8,13,11,14,466,8,7,9,,,,2,2,3,30,25,34,6,5,8,7,6,8,,,123400,,1505,266238,67,66,67,64279,16,16,17,93,371083,93,94,1152333,22.2,16.7,100161,8.7,12348,1.1,217402,18.9,7188,0.6,302831,26.3,481588,41.8,65454,6,,,51.1,8316,0.8
